country,value,year
Argentina,6,2011
Australia,45,2011
Austria,16,2011
Belgium,8,2011
Belize,1,2011
Brazil,123,2011
Canada,77,2011
Chile,43,2011
China,193,2011
Colombia,18,2011
Cyprus,11,2011
Czech Republic,12,2011
Denmark,8,2011
Egypt,16,2011
Finland,1,2011
France,111,2011
Germany,218,2011
Greece,6,2011
Hong Kong,143,2011
India,231,2011
Indonesia,30,2011
Ireland,14,2011
Israel,43,2011
Italy,56,2011
Japan,63,2011
Kazakhstan,10,2011
Kuwait,12,2011
Lebanon,10,2011
Malaysia,40,2011
Mexico,123,2011
Monaco,4,2011
Netherlands,15,2011
New Zealand,9,2011
Nigeria,15,2011
Norway,11,2011
Philippines,10,2011
Poland,5,2011
Portugal,8,2011
Romania,3,2011
Russia,388,2011
Saudi Arabia,51,2011
Singapore,9,2011
South Africa,15,2011
South Korea,38,2011
Spain,56,2011
Sweden,70,2011
Switzerland,37,2011
Taiwan,52,2011
Thailand,15,2011
Turkey,54,2011
Ukraine,30,2011
United Arab Emirates,5,2011
United Kingdom,82,2011
United States,1368,2011
Venezuela,7,2011
Argentina,8,2012
Australia,60,2012
Austria,19,2012
Belgium,5,2012
Belize,1,2012
Brazil,137,2012
Canada,71,2012
Chile,39,2012
China,174,2012
Colombia,22,2012
Cyprus,12,2012
Czech Republic,10,2012
Denmark,10,2012
Egypt,14,2012
Finland,2,2012
France,117,2012
Georgia,6,2012
Germany,229,2012
Greece,6,2012
Hong Kong,145,2012
India,176,2012
Indonesia,36,2012
Ireland,19,2012
Israel,34,2012
Italy,71,2012
Japan,65,2012
Kazakhstan,6,2012
Kuwait,5,2012
Lebanon,11,2012
Malaysia,42,2012
Mexico,127,2012
Monaco,4,2012
Morocco,5,2012
Netherlands,14,2012
New Zealand,10,2012
Nigeria,15,2012
Norway,11,2012
Peru,4,2012
Philippines,16,2012
Poland,6,2012
Portugal,7,2012
Romania,1,2012
Russia,339,2012
Saudi Arabia,48,2012
Singapore,9,2012
South Africa,16,2012
South Korea,39,2012
Spain,65,2012
St. Kitts and Nevis,1,2012
Sweden,73,2012
Switzerland,35,2012
Taiwan,51,2012
Thailand,19,2012
Turkey,46,2012
Ukraine,29,2012
United Arab Emirates,6,2012
United Kingdom,87,2012
United States,1474,2012
Venezuela,7,2012
Argentina,8,2013
Australia,60,2013
Austria,19,2013
Belgium,5,2013
Belize,1,2013
Brazil,137,2013
Canada,71,2013
Chile,39,2013
China,174,2013
Colombia,22,2013
Cyprus,12,2013
Czech Republic,10,2013
Denmark,10,2013
Egypt,14,2013
Finland,2,2013
France,117,2013
Georgia,6,2013
Germany,229,2013
Greece,6,2013
Hong Kong,145,2013
India,176,2013
Indonesia,36,2013
Ireland,19,2013
Israel,34,2013
Italy,71,2013
Japan,65,2013
Kazakhstan,6,2013
Kuwait,5,2013
Lebanon,11,2013
Malaysia,42,2013
Mexico,127,2013
Monaco,4,2013
Morocco,5,2013
Netherlands,14,2013
New Zealand,10,2013
Nigeria,15,2013
Norway,11,2013
Peru,4,2013
Philippines,16,2013
Poland,6,2013
Portugal,7,2013
Romania,1,2013
Russia,339,2013
Saudi Arabia,48,2013
Singapore,9,2013
South Africa,16,2013
South Korea,39,2013
Spain,65,2013
St. Kitts and Nevis,1,2013
Sweden,73,2013
Switzerland,35,2013
Taiwan,51,2013
Thailand,19,2013
Turkey,46,2013
Ukraine,29,2013
United Arab Emirates,6,2013
United Kingdom,87,2013
United States,1474,2013
Venezuela,7,2013
Argentina,3,2014
Australia,19,2014
Austria,5,2014
Belgium,5,2014
Brazil,63,2014
Canada,54,2014
Chile,26,2014
China,121,2014
Colombia,27,2014
Czech Republic,4,2014
Denmark,22,2014
Egypt,12,2014
Eswatini,3,2014
Finland,3,2014
France,114,2014
Germany,156,2014
Greece,7,2014
Guernsey,2,2014
Hong Kong,59,2014
India,69,2014
Indonesia,17,2014
Ireland,18,2014
Israel,26,2014
Italy,65,2014
Japan,65,2014
Kazakhstan,4,2014
Kuwait,2,2014
Lebanon,8,2014
Malaysia,19,2014
Mexico,100,2014
Monaco,3,2014
Morocco,3,2014
Netherlands,17,2014
New Zealand,9,2014
Nigeria,31,2014
Norway,13,2014
Peru,2,2014
Philippines,14,2014
Poland,4,2014
Russia,204,2014
Saudi Arabia,27,2014
Singapore,9,2014
South Africa,17,2014
South Korea,30,2014
Spain,87,2014
St. Kitts and Nevis,1,2014
Sweden,63,2014
Switzerland,40,2014
Taiwan,38,2014
Thailand,17,2014
Turkey,12,2014
Ukraine,16,2014
United Arab Emirates,6,2014
United Kingdom,41,2014
United States,1066,2014
Venezuela,1,2014
Vietnam,1,2014
Algeria,3,2015
Angola,3,2015
Argentina,9,2015
Australia,60,2015
Austria,26,2015
Belgium,7,2015
Brazil,164,2015
Canada,116,2015
Chile,34,2015
China,484,2015
Colombia,18,2015
Cyprus,14,2015
Czech Republic,13,2015
Denmark,22,2015
Egypt,21,2015
Eswatini,3,2015
Finland,7,2015
France,236,2015
Georgia,5,2015
Germany,387,2015
Greece,6,2015
Guatemala,1,2015
Guernsey,1,2015
Hong Kong,222,2015
Iceland,1,2015
India,262,2015
Indonesia,47,2015
Ireland,27,2015
Israel,48,2015
Italy,139,2015
Japan,88,2015
Kazakhstan,9,2015
Kuwait,5,2015
Lebanon,12,2015
Lithuania,1,2015
Malaysia,44,2015
Mexico,138,2015
Monaco,3,2015
Morocco,4,2015
Nepal,1,2015
Netherlands,24,2015
New Zealand,9,2015
Nigeria,22,2015
Norway,21,2015
Oman,2,2015
Peru,7,2015
Philippines,46,2015
Poland,11,2015
Portugal,7,2015
Romania,2,2015
Russia,307,2015
Saudi Arabia,47,2015
Singapore,47,2015
South Africa,26,2015
South Korea,67,2015
Spain,108,2015
St. Kitts and Nevis,1,2015
Sweden,108,2015
Switzerland,87,2015
Taiwan,72,2015
Tanzania,2,2015
Thailand,46,2015
Turkey,43,2015
Uganda,1,2015
Ukraine,10,2015
United Arab Emirates,18,2015
United Kingdom,147,2015
United States,2348,2015
Venezuela,8,2015
Vietnam,1,2015
Algeria,3,2016
Angola,3,2016
Argentina,8,2016
Australia,51,2016
Austria,27,2016
Belgium,6,2016
Brazil,120,2016
Canada,100,2016
Chile,26,2016
China,504,2016
Colombia,12,2016
Cyprus,12,2016
Czech Republic,15,2016
Denmark,27,2016
Egypt,11,2016
Eswatini,3,2016
Finland,9,2016
France,197,2016
Georgia,4,2016
Germany,419,2016
Greece,4,2016
Guernsey,1,2016
Hong Kong,215,2016
Iceland,1,2016
