country,value,year
Argentina,2,2011
Australia,18,2011
Austria,5,2011
Belgium,4,2011
Belize,1,2011
Brazil,31,2011
Canada,25,2011
Chile,5,2011
China,116,2011
Colombia,2,2011
Cyprus,2,2011
Czech Republic,3,2011
Denmark,3,2011
Egypt,8,2011
Finland,1,2011
France,13,2011
Germany,50,2011
Greece,2,2011
Hong Kong,36,2011
India,56,2011
Indonesia,15,2011
Ireland,4,2011
Israel,16,2011
Italy,13,2011
Japan,24,2011
Kazakhstan,5,2011
Kuwait,3,2011
Lebanon,6,2011
Malaysia,9,2011
Mexico,11,2011
Monaco,2,2011
Netherlands,6,2011
New Zealand,3,2011
Nigeria,2,2011
Norway,4,2011
Philippines,4,2011
Poland,3,2011
Portugal,3,2011
Romania,2,2011
Russia,97,2011
Saudi Arabia,8,2011
Singapore,4,2011
South Africa,4,2011
South Korea,17,2011
Spain,14,2011
Sweden,10,2011
Switzerland,11,2011
Taiwan,25,2011
Thailand,3,2011
Turkey,38,2011
Ukraine,9,2011
United Arab Emirates,4,2011
United Kingdom,33,2011
United States,411,2011
Venezuela,2,2011
Argentina,4,2012
Australia,18,2012
Austria,6,2012
Belgium,2,2012
Belize,1,2012
Brazil,37,2012
Canada,26,2012
Chile,5,2012
China,95,2012
Colombia,3,2012
Cyprus,2,2012
Czech Republic,3,2012
Denmark,3,2012
Egypt,7,2012
Finland,1,2012
France,15,2012
Georgia,1,2012
Germany,55,2012
Greece,3,2012
Hong Kong,38,2012
India,48,2012
Indonesia,17,2012
Ireland,5,2012
Israel,13,2012
Italy,16,2012
Japan,24,2012
Kazakhstan,3,2012
Kuwait,5,2012
Lebanon,6,2012
Malaysia,9,2012
Mexico,11,2012
Monaco,2,2012
Morocco,3,2012
Netherlands,6,2012
New Zealand,3,2012
Nigeria,2,2012
Norway,5,2012
Peru,2,2012
Philippines,6,2012
Poland,4,2012
Portugal,3,2012
Romania,1,2012
Russia,96,2012
Saudi Arabia,8,2012
Singapore,5,2012
South Africa,4,2012
South Korea,20,2012
Spain,16,2012
St. Kitts and Nevis,1,2012
Sweden,11,2012
Switzerland,9,2012
Taiwan,24,2012
Thailand,5,2012
Turkey,34,2012
Ukraine,8,2012
United Arab Emirates,4,2012
United Kingdom,36,2012
United States,424,2012
Venezuela,2,2012
Argentina,4,2013
Australia,18,2013
Austria,6,2013
Belgium,2,2013
Belize,1,2013
Brazil,37,2013
Canada,26,2013
Chile,5,2013
China,95,2013
Colombia,3,2013
Cyprus,2,2013
Czech Republic,3,2013
Denmark,3,2013
Egypt,7,2013
Finland,1,2013
France,15,2013
Georgia,1,2013
Germany,55,2013
Greece,3,2013
Hong Kong,38,2013
India,48,2013
Indonesia,17,2013
Ireland,5,2013
Israel,13,2013
Italy,16,2013
Japan,24,2013
Kazakhstan,3,2013
Kuwait,5,2013
Lebanon,6,2013
Malaysia,9,2013
Mexico,11,2013
Monaco,2,2013
Morocco,3,2013
Netherlands,6,2013
New Zealand,3,2013
Nigeria,2,2013
Norway,5,2013
Peru,2,2013
Philippines,6,2013
Poland,4,2013
Portugal,3,2013
Romania,1,2013
Russia,96,2013
Saudi Arabia,8,2013
Singapore,5,2013
South Africa,4,2013
South Korea,20,2013
Spain,16,2013
St. Kitts and Nevis,1,2013
Sweden,11,2013
Switzerland,9,2013
Taiwan,24,2013
Thailand,5,2013
Turkey,34,2013
Ukraine,8,2013
United Arab Emirates,4,2013
United Kingdom,36,2013
United States,424,2013
Venezuela,2,2013
Argentina,3,2014
Australia,10,2014
Austria,3,2014
Belgium,2,2014
Brazil,19,2014
Canada,15,2014
Chile,6,2014
China,69,2014
Colombia,3,2014
Czech Republic,3,2014
Denmark,4,2014
Egypt,4,2014
Eswatini,1,2014
Finland,1,2014
France,22,2014
Germany,33,2014
Greece,3,2014
Guernsey,1,2014
Hong Kong,16,2014
India,20,2014
Indonesia,7,2014
Ireland,2,2014
Israel,9,2014
Italy,20,2014
Japan,13,2014
Kazakhstan,3,2014
Kuwait,2,2014
Lebanon,3,2014
Malaysia,3,2014
Mexico,7,2014
Monaco,3,2014
Morocco,2,2014
Netherlands,4,2014
New Zealand,2,2014
Nigeria,3,2014
Norway,5,2014
Peru,1,2014
Philippines,5,2014
Poland,2,2014
Russia,47,2014
Saudi Arabia,4,2014
Singapore,6,2014
South Africa,5,2014
South Korea,13,2014
Spain,12,2014
St. Kitts and Nevis,1,2014
Sweden,10,2014
Switzerland,11,2014
Taiwan,15,2014
Thailand,8,2014
Turkey,9,2014
Ukraine,4,2014
United Arab Emirates,2,2014
United Kingdom,16,2014
United States,204,2014
Venezuela,1,2014
Vietnam,1,2014
Algeria,1,2015
Angola,1,2015
Argentina,5,2015
Australia,27,2015
Austria,7,2015
Belgium,3,2015
Brazil,54,2015
Canada,39,2015
Chile,12,2015
China,213,2015
Colombia,3,2015
Cyprus,5,2015
Czech Republic,5,2015
Denmark,5,2015
Egypt,8,2015
Eswatini,1,2015
Finland,5,2015
France,47,2015
Georgia,1,2015
Germany,103,2015
Greece,3,2015
Guatemala,1,2015
Guernsey,1,2015
Hong Kong,55,2015
Iceland,1,2015
India,90,2015
Indonesia,23,2015
Ireland,5,2015
Israel,17,2015
Italy,39,2015
Japan,24,2015
Kazakhstan,5,2015
Kuwait,5,2015
Lebanon,7,2015
Lithuania,1,2015
Malaysia,12,2015
Mexico,16,2015
Monaco,3,2015
Morocco,3,2015
Nepal,1,2015
Netherlands,9,2015
New Zealand,2,2015
Nigeria,5,2015
Norway,10,2015
Oman,2,2015
Peru,6,2015
Philippines,11,2015
Poland,5,2015
Portugal,3,2015
Romania,2,2015
Russia,88,2015
Saudi Arabia,10,2015
Singapore,19,2015
South Africa,7,2015
South Korea,30,2015
Spain,21,2015
St. Kitts and Nevis,1,2015
Sweden,23,2015
Switzerland,29,2015
Taiwan,33,2015
Tanzania,2,2015
Thailand,16,2015
Turkey,32,2015
Uganda,1,2015
Ukraine,5,2015
United Arab Emirates,4,2015
United Kingdom,53,2015
United States,536,2015
Venezuela,3,2015
Vietnam,1,2015
Algeria,1,2016
Angola,1,2016
Argentina,4,2016
Australia,25,2016
Austria,6,2016
